Product,Description,Features,Supplier Note,Polished,Source
Independent Trading Co PRM4500,"A midweight pigment-dyed pullover hoodie in 9 oz. 80/20 ring-spun cotton/polyester fleece with a 100% cotton face and a unique, washed character. A jersey-lined hood, pouch pocket and 1x1 ribbing give it a soft, vintage feel.","9 oz./yd² (US), 15 oz./L yd (CA), 80/20 ring-spun cotton/polyester fleece with 100% cotton face, 30 singles|Pigment-dyed for unique character|Classic fit|Jersey-lined hood with sewn eyelets|Split-stitch double-needle sewing on all seams|Twill neck tape|1x1 ribbing at cuffs and waistband|Dyed-to-match drawcord|Pouch pocket|Woven label",Meets OEKO-TEX Standard 100 and made in a WRAP certified facility.,,
Independent Trading Co SS1000Z,"A lightweight loopback terry full-zip hoodie in 7.5 oz. 55/45 ring-spun cotton/polyester with a smooth, print-ready surface. Antique silver hardware, double shoelace drawcords and 1x1 ribbing give it a premium retail look in a slim unisex fit.","7.5 oz./yd² (US), 12.5 oz./L yd (CA), 55/45 ring-spun cotton/polyester loopback terry, 20 singles|Unisex, slim fit|Antique silver zipper and eyelets|Double shoelace drawcords with antique silver metal tips|Twill neck tape|1x1 ribbing at cuffs and waistband|Tear away label",Made in a WRAP certified facility.,,
Independent Trading Co SS1000,"A lightweight loopback terry pullover hoodie in 7.5 oz. 55/45 ring-spun cotton/polyester with a smooth surface ideal for printing. Double metal-tipped shoelace drawcords, antique silver eyelets and 1x1 ribbing give it a premium feel in a slim unisex fit.","7.5 oz./yd² (US), 12.5 oz./L yd (CA), 55/45 ring-spun cotton/polyester loopback terry, 20 singles|Unisex, slim fit|Antique silver eyelets|Double shoelace drawcords with antique silver metal tips|Twill neck tape|1x1 ribbing at cuffs and waistband|Tear away label",Made in a WRAP certified facility.,,
AS Colour 5050,"A mid-weight tubular tee in 200 GSM 100% carded cotton with a regular fit and clean, seamless sides. Neck ribbing, shoulder-to-shoulder tape and double-needle hems give it durable, everyday construction.","200 GSM (approx. 5.9 oz.), 20 singles, 100% carded cotton (marles contain 15% viscose)|Regular fit|Crew neck|Neck ribbing|Tubular body (no side seams)|Shoulder-to-shoulder tape|Double-needle hems|Preshrunk",Meets OEKO-TEX Standard 100; made under Amfori BSCI standards.,,
AS Colour 1123,"A mid-profile rope cap in lightweight 100% recycled nylon with a quick-dry, surf-inspired build. A single seamless front panel, contrast crown rope and adjustable snapback give it a clean, decoration-ready look.","100% recycled nylon (lightweight, quick-dry)|Mid-profile snapback|Flat peak|Single front panel|Contrast matte nylon rope at crown|Tonal under-peak lining|One size|Tear-out label",Made with 100% recycled nylon. (limited source data),,
AS Colour 1114,"A mid-profile surf cap in lightweight 100% recycled nylon with a quick-dry, unstructured build. A single seamless front panel and adjustable snapback make it an easy, decoration-ready style.","100% recycled nylon (lightweight, quick-dry)|Mid-profile unstructured snapback|Single front panel|Tonal under-peak lining|One size|Tear-out label",Made with 100% recycled nylon. (limited source data),,
Liberty Bags 8503,The Isabella tote in durable 12 oz. 100% cotton canvas with extra-long handles and a roomy gusseted body. Reinforced stress-point stitching keeps it sturdy for everyday and promotional use.,"12 oz./yd², 100% cotton canvas|24"" cotton web handles|Bottom gusset|Approx. 14.75""W x 14.75""H x 4.5""D|Reinforced stress-point stitching|Non-branded label",,,
Q-Tees QTB6000,"A contrast-handle tote in 6 oz. 100% natural cotton sheeting with color-pop self-fabric handles. A lightweight, flat body makes it an economical promotional carry.","6 oz./yd² (US), 10 oz./L yd (CA), 100% cotton sheeting|23"" contrast self-fabric handles|10.5"" handle drop|Approx. 10.5""W x 16""H",,,
Q-Tees QTB,"An economical tote in 6 oz. 100% cotton sheeting with a simple, flat body and self-fabric handles. A lightweight, budget-friendly blank for everyday promotions.","6 oz./yd² (US), 10 oz./L yd (CA), 100% cotton sheeting|20.5"" self-fabric handles|9.5"" handle drop|15""W x 16""H",,,
Next Level 5080,"A women's festival crop top in ultra-light 3.5 oz. 65/35 poly/cotton with a soft, breathable hand. A modest crop length, crew neck and raw-edge hem give it a laid-back festival look.","3.5 oz./yd², 65/35 polyester/combed ring-spun cotton, 40 singles|Self 3/8"" shoulder-to-shoulder binding|Crew neck|Modest crop length|Raw-edge hem|Classic fit",Made in a socially conscious manufacturing facility.,,
Independent Trading Co PRM180PT,"A premium pigment-dyed tee in 5.3 oz. 100% ring-spun cotton with a soft, washed hand and unique color character. A 1x1 ribbed collar and standard fit make it a retail-quality blank.","5.3 oz./yd² (180g), 100% ring-spun cotton, 26 singles|Grey Heather is 60/40 cotton/polyester|Pigment-dyed|1x1  neck ribbing|Jersey neck taping|Standard  fit|Tear away label",Pigment-dyed; slight color variation is inherent to the process. (limited source data),,
Yupoong 6606,"A retro trucker cap with structured, buckram-backed poly/cotton front panels and a breathable mesh back. A mid-profile crown, Permacurv visor and snapback closure give it a classic, decoration-ready shape.","65/35 polyester/cotton front (rolling change to 74/26)|100% polyester mesh back|Structured, six-panel, mid-profile|Permacurv pre-curved visor with 8-row stitching|Matching undervisor|Snapback closure|One size fits most",,,
Yupoong 6006,"A classic five-panel trucker with a structured, high-profile front and a breathable mesh back. A flat bill and adjustable snapback deliver a clean, retro silhouette ideal for decoration.","47/28/25 cotton/nylon/polyester front|100% polyester mesh back|Structured, five-panel, high-profile|Flat bill|Matching undervisor|Snapback closure|One size fits most",Made in an OEKO-TEX certified facility.,,
Richardson 112FP,"A five-panel version of the iconic 112 trucker with a clean, seamless front for uninterrupted decoration. Cotton/poly twill front panels pair with a mesh back, pre-curved bill and adjustable snapback.","60/40 cotton/polyester twill front|100% polyester mesh back|Structured, five-panel, mid-profile|Pre-curved contrast-stitch bill|Adjustable snapback closure|One size fits most",,,
Next Level 1533,"A women's ideal racerback tank in 4 oz. 60/40 combed ring-spun cotton/polyester with a soft, laundered hand. Self-fold binding, a racerback cut and a curved hem give it a flattering, sporty fit.","4.0 oz./yd² (135g), 60/40 combed ring-spun cotton/polyester, 30 singles|Fabric  laundered|Regular fit|Self 3/8"" double-fold binding with coverstitch at neck and armhole|Racerback|Curved bottom hem|Side seams|Tear away label",Made in an FLA certified facility.,,
Next Level 6733,"A women's triblend racerback tank in ultra-soft 4.3 oz. 50/25/25 poly/cotton/rayon with a lightweight drape and subtle heathered texture. Flatlock raw-edge hems and side seams give it a modern, retail-ready finish.","4.3 oz./yd² (US), 7.2 oz./L yd (CA), 50/25/25 polyester/combed ring-spun cotton/rayon,  32 singles|Fabric laundered|Flatlock  finished hems for raw-edge look|Scoop neck|Side seams|Satin label",Made  in an FLA certified facility.,,
Next Level 1580,"A women's ideal crop top in 4 oz. 60/40 combed ring-spun cotton/polyester with a soft, relaxed hand. A modest crop length and crew neck give it an easy, casual look.","4.0 oz./yd², 60/40 combed ring-spun cotton/polyester, 30 singles|Self 3/8"" shoulder-to-shoulder binding|Crew neck|Modest crop length|Relaxed fit",Made in a socially conscious manufacturing facility.,,
Bella Canvas 1019,"A women's micro-rib racer tank in 5.4 oz. 52/48 Airlume combed ring-spun cotton/polyester with a stretchy, fitted feel. A high neck, racerback and 1x1 micro rib give it a modern, body-skimming silhouette.","5.4 oz./yd² (183g), 52/48 Airlume combed ring-spun cotton/polyester, 32 singles|Athletic Heather is 90/10|High neck|Racerback|1x1 micro rib|Mid length|Side seams|Fitted stretch fit|Tear away label",Made in a WRAP-accredited and bluesign certified facility; Bella+Canvas is an FLA participating company.,,
Richardson 146R,"A waffle-knit cuffed beanie in soft mid-weight 100% acrylic with a cozy, textured look. A folded cuff and top-seam knit give it a classic, everyday fit.","100% acrylic|Waffle knit|Approx. 11.5"" length|Top-seam (4-panel) knit|Folded/adjustable cuff|One size",(limited source data),,
Atlantis_Headwear RIO,"A sustainable rib-cuffed beanie in a 50/50 recycled polyester/acrylic ribbed knit with a soft, warm hand. QR-code traceability and recycled content make it an eco-minded everyday beanie.","50/50 recycled polyester/acrylic|Narrow ribbed knit|Approx. 11"" length with cuff|QR-code traceability|One size",GRS certified; contains 50% recycled polyester; made in a BSCI/SMETA-audited facility.,,
Atlantis_Headwear SHORE,"A sustainable cable-knit cuffed beanie in a 50/50 recycled polyester/acrylic blend with a chunky, textured look. Recycled content and QR-code traceability give it eco-friendly credentials.","50/50 recycled polyester/acrylic|Cable knit|Approx. 11"" length with cuff|QR-code traceability|One size",GRS certified; contains 50% recycled polyester; made in a BSCI/SMETA-audited facility.,,
Atlantis_Headwear ANDY,"A sustainable fine-ribbed cuffed beanie in recycled polyester with a slim, clean knit. A pre-established cuff and QR-code traceability make it an eco-minded, retail-ready style.","100% recycled polyester (older lots 50/50 recycled polyester/acrylic)|Fine ribbed knit|Approx. 11"" length with 2.5"" cuff|QR-code traceability|One size",GRS and OEKO-TEX certified; contains recycled polyester; made in a BSCI/SMETA-audited facility.,,
Atlantis_Headwear WIND,"A sustainable 12-inch knit beanie in 100% recycled polyester with a longer, cuffless silhouette. Each hat recycles two plastic bottles and carries QR-code traceability.","100% recycled polyester|12"" knit, long/cuffless|Two bottles recycled per hat|QR-code traceability|One size",GRS certified; contains 100% recycled polyester; made in a BSCI/SMETA-audited facility.,,
Sportsman_SP12 SP12,"A 12-inch solid cuffed beanie in warm 100% acrylic with an adjustable fold cuff. A simple, classic knit makes it an easy, budget-friendly blank for decoration.","100% acrylic|Heather Grey is 62/38 acrylic/polyester|12""  knit|Adjustable cuff (approx. 3"")|One size","Made in a WRAP certified, Higg-assessed facility.",,
District DT1103,"A perfect-weight full-zip fleece hoodie in soft 9 oz. 80/20 combed ring-spun cotton/poly fleece with a 100% cotton face for smooth printing. A jersey-lined hood, 2x1 rib cuffs and hem and a tear-away label give it a modern, retail feel.","9 oz./yd² (305 GSM), 80/20 combed ring-spun cotton/polyester 3-end fleece with 100% cotton face|Heathers are 65/35|Jersey-lined hood|Full-zip closure|Dyed-to-match drawcords with metal tips|Twill back neck tape|2x1 rib knit cuffs and hem|Tear away label",,,
District DT1101,"A perfect-weight pullover fleece hoodie in soft 9 oz. 80/20 combed ring-spun cotton/poly fleece with a 100% cotton face for crisp prints. A jersey-lined hood, 2x1 rib cuffs and hem and a tear-away label keep it comfortable and easy to customize.","9 oz./yd² (305 GSM), 80/20 combed ring-spun cotton/polyester 3-end fleece with 100% cotton face|Heathers are 65/35|Jersey-lined  hood|Dyed-to-match drawcords with metal tips|Twill back neck tape|2x1 rib knit cuffs and hem|Tear away label",,,
Richardson 256,"The Umpqua gramps hat, a soft-structured five-panel cap in a striated woven cotton/nylon blend with a flat bill and outdoor-ready build. A mesh flip-up stay  and UPF 50+ protection make it a laid-back, sun-smart style.","Striated woven cotton/nylon blend|Cotton sweatband|Soft-structured, five-panel|Mid/Hi Pro crown|Flat bill|Mesh flip-up stay|UPF 50+|Adjustable",(limited source data),,
Atlantis PURE,A sustainable cuffed beanie knit from Polylana recycled/modified polyester and acrylic in a soft double-layer construction. QR-code traceability and a low-impact fiber make it an eco-minded everyday beanie.,"60/40 recycled polyester/acrylic using Polylana fiber|Double-layer circular knit|Approx. 13"" length with cuff|QR-code traceability|One size|Tear away label",Meets OEKO-TEX Standard 100; uses low-impact Polylana fiber; made in a BSCI/SMETA-audited facility.,,
Bella/Canvas 6008,"A women's jersey racerback tank in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a relaxed drape. A racerback cut, merrowed hem and side seams give it a flattering, casual fit.","4.2 oz./yd² (US), 7.2 oz./L yd (CA), 100% Airlume combed ring-spun cotton, 32 singles|Athletic Heather is 90/10|Relaxed fit|Racerback|Merrowed bottom hem|Side seams|Tear away label",Made  in a bluesign certified facility.,,
OAD 106,A gusseted tote in durable 12 oz. 100% cotton canvas with a roomy body and self-fabric handles. A non-branded label makes it a clean blank for custom branding.,"12 oz./L yd, 100% cotton canvas|20"" self-fabric handles|15""W x 16""H x 3""D bottom gusset|Non-branded label",,,
Hanes P160,"A unisex EcoSmart crewneck sweatshirt in 7.8 oz. 50/50 cotton/polyester PrintPro XP fleece with a smooth, low-pill surface. Made with up to 5% recycled polyester,  it features double-needle coverseaming and ribbed cuffs and waistband.","7.8 oz./yd² (264g), 50/50 cotton/polyester fleece with up to 5% recycled polyester|Low-pill PrintPro XP fleece|Double-needle coverseamed neck and armholes|Ribbed cuffs and waistband with spandex|Unisex  classic fit",Made  with recycled polyester from plastic bottles.,,
Bella/Canvas 3001Y,"The youth version of the best-selling 3001 jersey tee in soft 4.2 oz. 100% Airlume combed ring-spun cotton. Side seams, a retail fit and a tear-away label make it a print-ready everyday staple.","4.2 oz./yd², 100% Airlume combed ring-spun cotton, 32 singles|Ash is 99/1 cotton/polyester|Side-seamed|Retail fit|Pre-shrunk|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Bella/Canvas 6400CVC,"A women's relaxed Heather CVC tee in soft 4.2 oz. 52/48 Airlume combed ring-spun cotton/polyester with a vintage heathered texture. A crew neck, relaxed fit and side seams make it a versatile everyday tee.","4.2 oz./yd² (142g), 52/48 Airlume combed ring-spun cotton/polyester, 32 singles|Athletic Heather and Black Heather are 90/10|Crew neck|Relaxed fit|Side seams|Pre-shrunk|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes and solar-powered cutting.,,
Bella/Canvas 6405,"A women's relaxed jersey V-neck tee in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a contemporary, looser fit. Side seams and a tear-away label make it a comfortable, print-ready blank.","4.2 oz./yd² (US), 7 oz./L yd (CA), 100% Airlume combed ring-spun cotton, 32 singles|Athletic and Black Heather are 90/10|Heather/CVC colors are 52/48|Relaxed fit|V-neck|Side seams|Tear away label",Made in a WRAP-accredited and bluesign certified facility; Bella+Canvas is an FLA participating company.,,
Bella/Canvas 3480,"A unisex jersey tank in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a retail fit and clean side-seamed construction. A versatile, print-ready blank in a wide range of colors.","4.2 oz./yd² (US), 7 oz./L yd (CA), 100% Airlume combed ring-spun cotton, 32 singles|Ash is 99/1|Athletic Heather is 90/10|Heather/CVC colors are 52/48|Side-seamed|Retail fit|Unisex sizing|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Next Level 5030,"A women's festival scoop-neck tee in ultra-light 3.5 oz. 65/35 poly/cotton with a soft, breathable hand. A scoop neck and exaggerated drop-tail hem give it a relaxed festival look.","3.5 oz./yd², 65/35 polyester/combed ring-spun cotton, 40 singles|Scoop neck|Exaggerated drop-tail hem|Hemmed sleeves with raw edge|Self 3/8"" shoulder binding|Classic fit",Made in a socially conscious manufacturing facility.,,
Next Level 6760,"A women's triblend dolman tee in ultra-soft 4.3 oz. 50/25/25 poly/cotton/rayon with a lightweight drape. A scoop neck, hemmed dolman sleeves and curved hem give it a relaxed, flattering silhouette.","4.3 oz./yd² (7.2 oz./L yd CA), 50/25/25 polyester/combed ring-spun cotton/rayon, 32 singles|Fabric laundered|Set-in 1x1 triblend baby-rib collar with coverstitch|Scoop neck|Hemmed dolman sleeves|Curved hem|Side seams|Relaxed fit|Satin label",Made in a socially conscious manufacturing facility.,,
Bella/Canvas 3501,"A unisex jersey long sleeve tee in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a retail fit. Side seams and ribbed cuffs give it a clean, modern finish.","4.2 oz./yd², 100% Airlume combed ring-spun cotton, 32 singles|Ash is 99/1|Retail fit|Side-seamed|Ribbed cuffs|Pre-shrunk|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Bella/Canvas 3501CVC,"A Heather CVC long sleeve tee in soft 4.2 oz. 52/48 Airlume combed ring-spun cotton/polyester with a vintage heathered texture. Side seams, ribbed cuffs and a retail fit make it a print-ready everyday layer.","4.2 oz./yd², 52/48 Airlume combed ring-spun cotton/polyester, 32 singles|Athletic Heather and Black Heather are 90/10|Retail fit|Side-seamed|Ribbed cuff|Tear away label","Made in a WRAP certified, FLA participating facility.",,
Bella/Canvas 6682,"A women's racerback crop tank in soft 4.2 oz. 52/48 Airlume combed ring-spun cotton/polyester with a relaxed cropped fit. A racerback cut, raw-edge armholes and side seams give it a laid-back look.","4.2 oz./yd², 52/48 Airlume combed ring-spun cotton/polyester, 32 singles|Athletic Heather is 90/10|Relaxed cropped fit|Racerback|Raw-edge armholes|Side seams|Tear away label",Made in a WRAP-accredited and bluesign certified facility; Bella+Canvas is an FLA participating company.,,
Bella/Canvas 6482,"A women's jersey crop tee in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a relaxed body and oversized sleeves. A cropped length and neck binding give it a modern, casual silhouette.","4.2 oz./yd², 100% Airlume combed ring-spun cotton, 32 singles|Athletic Heather is 90/10|Relaxed cropped body|Neck binding|Oversized sleeves|Finished hem|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Bella/Canvas 6400,"A women's relaxed jersey tee in soft 4.2 oz. 100% Airlume combed ring-spun cotton with a contemporary, looser fit. A crew neck, side seams and a smooth, DTG-ready surface make it a versatile everyday tee.","4.2 oz./yd² (US), 7 oz./L yd (CA), 100% Airlume combed ring-spun cotton, 32 singles|Athletic and Black Heather are 90/10|Crew neck|Relaxed fit|Side seams|Tear away label",Made in a WRAP-accredited and bluesign certified facility; Bella+Canvas is an FLA participating company.,,
Bella/Canvas 8803,"A women's flowy scoop muscle tank in lightweight 3.7 oz. 65/35 polyester/viscose with a soft, drapey hand. Low-cut armholes and a curved hem give it a relaxed, breezy silhouette.","3.7 oz./yd² (6.2 oz./L yd CA), 65/35 polyester/viscose, 32 singles|Athletic Heather is 52/48 poly/viscose|Relaxed drapey fit|Low-cut armholes|Curved bottom hem|Side seams|Tear away label",Made in a WRAP-accredited facility; Bella+Canvas uses bluesign certified dyes.,,
Bella/Canvas 3413,"A triblend tee in ultra-soft 3.8 oz. 50/25/25 poly/Airlume cotton/rayon with a lightweight drape and subtle heathered texture. Side seams and a modern unisex fit make it a premium, print-ready blank.","3.8 oz./yd² (6.7 oz./L yd CA), 50/25/25 polyester/Airlume combed ring-spun cotton/rayon, 40 singles|Black Heather Triblend is 70/15/15|Side-seamed|Modern fit|Unisex sizing",Made in a WRAP-accredited and bluesign certified facility; Bella+Canvas is an FLA participating company.,,
Next Level 6410,"A unisex sueded tee in soft 4.3 oz. 60/40 combed ring-spun cotton/polyester with a brushed, peached hand. A 1x1 sueded rib collar and side seams give it a smooth, retail-ready finish.","4.3 oz./yd² (7.2 oz./L yd CA), 60/40 combed ring-spun cotton/polyester sueded jersey, 32 singles|Fabric laundered|Regular fit|1x1 sueded baby-rib set-in collar|Side seams|Satin label",Made in a socially conscious manufacturing facility; poly content transitioning to recycled polyester.,,
